issue,title,primary finding,validator comment,status,root cause (URL),size
validation-639,Missing `disableInitializers` Call in Proxy Upgradeable Contract Constructor,validation-189,insufficient submission but valid - chainlinkoracle is included in the bot report so OOS,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/PendleLPOracle.sol#L56,22
validation-602,`CDPVault#liquidatePosition()` doesn't provide slippage protection on liquidated collateral,validation-411,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/CDPVault.sol#L509,23
findings-23,_notifyReward in `MultiFeeDistribution.sol` will skip reward periods causing loss for users,validation-765,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/main/src/reward/MultiFeeDistribution.sol#L500-L504,24
findings-24,Users who turn ineligible will have their pending rewards stuck,findings-24,primary,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/reward/ChefIncentivesController.sol#L520,24
findings-31,Missing staleness checks in `AuraVault.sol`,validation-459,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/4f508781a49ffa53511e7e5ed6cda0ff0eb5bdc5/src/vendor/AuraVault.sol#L365-L379,24
validation-120,`ChainlinkOracle::_authorizeUpgrade` doesn't check the status of the oracle before upgrade,validation-228,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/ChainlinkOracle.sol#L70,24
validation-215,`ChainlinkOracle::_fetchAndValidate` will return incorrect price when underlying aggregator reaches `minAnswer`,validation-727,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/ChainlinkOracle.sol#L96-L110,24
findings-34,PoolAction.sol will not return unused amounts to from address,validation-237,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/proxy/PoolAction.sol#L75-L111,25
validation-121,`PendleLPOracle::_fetchAndValidate` uses Chainlink's deprecated `answeredInRound`,validation-121,"while the WatchPug´s [WP-L12] answeredInRound is deprecated refers only to ChainlinkOracle.sol, the submission refers to another codeblock - primary",Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/PendleLPOracle.sol#L120,25
validation-160,"Pendle swap lacks deadline check, making it vulnerable to front-running",findings-71,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/proxy/SwapAction.sol#L135-L137,25
validation-436,Vault inflation attack in `AuraVault`,validation-485,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/vendor/AuraVault.sol#L199,25
validation-625,`AuraVault` is not functional because no one is allowed to update its configuration ,validation-448,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/vendor/AuraVault.sol#L120-L135,26
validation-216,`AuraVault::_chainlinkSpot` has integration issues where it might return stale or incorrect results,validation-42,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/4f508781a49ffa53511e7e5ed6cda0ff0eb5bdc5/src/vendor/AuraVault.sol#L365-L379,27
validation-231,"When PoolV3 is paused, borrowers will not be able to repay their loan by calling `CDPVault.repay()`, this will unfairly lead to interest accumulation and can lead to unfair liquidation once unpaused",validation-231,primary,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/PoolV3.sol#L537,28
validation-45,Griefing of last user withdrawal from StakingLPEth vault,validation-187,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/StakingLPEth.sol#L141-L144,28
findings-18,New pools can get tokens that were accumulated before they were added,findings-103,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/reward/ChefIncentivesController.sol#L304,29
validation-225, `PendleLPOracle::_fetchAndValidate` will return incorrect latest price data from chainlink,validation-121,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/PendleLPOracle.sol#L120,29
validation-230,ChainlinkOracle does not check if the returned price is outside the min/max range for the token,validation-727,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/ChainlinkOracle.sol#L96-L110,29
validation-411,No slippage protection upon liquidating,validation-411,primary,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/CDPVault.sol#L509,29
validation-413,Insufficient validation allows users to flashloan and bypass `increaseLever()`,validation-413,primary -it looks like one can arbitrarily swap a position by encoding leverParams.position but it´s not referred in the submission,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/proxy/PositionAction.sol#L379,29
validation-469, Inconsistent Emission Schedule Updates in ChefIncentivesController,validation-284,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/reward/ChefIncentivesController.sol#L439-L447,29
findings-102,Treasury withdrawals also incur fees,findings-102,"primary - validating this just to ensure the treasury is not calling this - else, it should be a multisig anyways",Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/PoolV3.sol#L419-L423,45
validation-591,Last user might not withdraw all their `lpETH` from `StakingLPEth`,validation-187,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/StakingLPEth.sol#L141-L144,29
validation-679,Lack of stale price check can result in users being able to claim more rewards than the deposited WETH.,validation-459,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/4f508781a49ffa53511e7e5ed6cda0ff0eb5bdc5/src/vendor/AuraVault.sol#L365-L379,29
findings-21,An infinite loop in `MultifeeDistribution.sol` exit() function,findings-21,primary,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/reward/MultiFeeDistribution.sol#L1006,30
validation-614,AuraVault is open to early inflation attacks,validation-485,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/vendor/AuraVault.sol#L199,30
validation-682,CDPVault : deposit : `whenNotPaused` can be bypassed by directly calling the `modifyCollateralAndDebt`,validation-325,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/CDPVault.sol#L223-L249,30
validation-770,Attacker can prevent users from depositing.,validation-323,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/proxy/TransferAction.sol#L65-L77,30
validation-611,BalancerOracle's totalSupply utilization is not correct in all cases,validation-648, ,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/oracle/BalancerOracle.sol#L135,31
validation-623, A user cannot claim their previously pending reward once they become ineligible,findings-24,,Satisfactory,https://github.com/code-423n4/2024-07-loopfi/blob/57871f64bdea450c1f04c9a53dc1a78223719164/src/reward/ChefIncentivesController.sol#L520,31
