issue,title,validator comment,status,size,Best
findings-90,QA Report,"    https://github.com/code-423n4/2024-07-loopfi-findings/blob/main/data/pkqs90-Q.md#l-06-in-stakinglpeth-the-cooldown-time-always-updates-to-the-last-cooldown-action --> dup of validation-432
    https://github.com/code-423n4/2024-07-loopfi-findings/blob/main/data/pkqs90-Q.md#l-09-pendleoracle-still-uses-answeredinround-but-it-is-deprecated-for-chainlink-aggregator --> dup of validation-121
    https://github.com/code-423n4/2024-07-loopfi-findings/blob/main/data/pkqs90-Q.md#l-22-positionaction20positionaction4626positionactionpendle-onwithdraw-dont-use-correct-token-scale --> dup of findings-42",Satisfactory,730,
validation-200,Gas Optimizations,no gas pot in this contest,Unsatisfactory,1,
validation-105,QA Report,no value,Unsatisfactory,84,
validation-18,Gas Optimizations,no gas pot in this contest,Unsatisfactory,5,
validation-126,QA Report,,Unsatisfactory,141,
validation-13,QA Report,no value,Unsatisfactory,11,
validation-90,Gas Optimizations,no gas pot in this contest,Unsatisfactory,17,
validation-167,QA Report,,Unsatisfactory,1,
validation-168,QA Report,,Unsatisfactory,70,
validation-205,QA Report,"QA2 --> dup of validation-325
QA3 --> dup of validation-137
QA4 --> dup of findings-96",Satisfactory,112,
validation-266,QA Report,"not so bright too. 
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Agontuk-Q.md#l-07-lack-of-validation-in-setinterestratemodel-may-allow-setting-of-incompatible-models --> dup of validation-707",Satisfactory,286,
validation-290,QA Report,"not so satisfactory. 
https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/K42-Q.md#l-14poolv3sol --> dup of validation-435",Satisfactory,827,
validation-301,QA Report,instead stale price perioid is utilized as a more governing approach,Unsatisfactory,10,
validation-14,Gas Optimizations,no gas pot in this contest,Unsatisfactory,44,
validation-308,QA Report,,Unsatisfactory,639,
validation-335,QA Report,[L02] --> dup of validation-323 - not satisfactory in total,Satisfactory,89,
validation-70,Gas Optimizations,no gas pot in this contest,Unsatisfactory,72,
validation-390,QA Report,"
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/atoko-Q.md#l-05-incorrect-prices-returned-during-flash-crashes --> dup of validation-727",Satisfactory,632,
validation-415,QA Report,"5/8 issues are dups - not so bright. 
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/peanuts-Q.md#l-01-oracle-in-cdpvault-can-never-change-which-will-be-an-issue-if-the-oracle-fails --> dup of validation-148
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/peanuts-Q.md#l-02-min-max-answer-not-checked-in-chainlinkoraclesol --> dup of validation-727
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/peanuts-Q.md#l-05-reducing-max-cooldown-in-stakinglpethsol-is-not-fair-for-users-with-the-original-cool-down --> dup of validation-513
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/peanuts-Q.md#l-06-poolv3repaycreditaccount-calls-_updatebaseinterestexpectedliquiditydelta-with-wrong-input --> dup of validation-441
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/peanuts-Q.md#l-08-liquidation-and-repayment-in-cdpvault-should-not-be-affected-by-pausing-mechanism --> dup of validation-231",Satisfactory,227,
validation-433,QA Report,"    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Bauchibred-Q.md#qa-08-fallback-oracles-should-be-implemented-in-the-cdpvault --> dup of validation-148
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Bauchibred-Q.md#qa-11-no-checks-for-minmax-circuit-breakers-while-querying-chainlink-data --> dup of validation-727
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Bauchibred-Q.md#qa-16-lack-of-slippage-protection-in-auravaults-mintdeposit --> dup of validation-279
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Bauchibred-Q.md#qa-19-users-can-be-liquidated-in-the-next-block --> dup of validation-654",Satisfactory,1236,
validation-454,QA Report,,Unsatisfactory,2626,
validation-455,QA Report,,Satisfactory,121,
validation-48,QA Report,no real added value to the sponsors - marking satisfactory for the respect of bot development,Satisfactory,13570,
validation-489,QA Report,"https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Infect3d-Q.md#-l02---vulnerable-to-permit-front-run-causing-a-revert --> dup of validation-323

https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/Infect3d-Q.md#-l03---poolaction_balancerjoin-should-return-excess-funds-as-proxy-gets-maxamountin-but-consume-only-assetsin --> dup of validation-604",Satisfactory,174,
validation-5,QA Report,dup of validation-432,Satisfactory,19,
validation-51,QA Report,L04 --> partial of validation-189 // but the whole report is not satisfactory,Satisfactory,122,
